ファイル対象年月,地域名,施設名,市町名,当年(月),前年(月),対前年同月比,当年(累計),前年(累計),対前年同期比
2025-11,松江,八重垣神社,松江市,32906.0,25329.0,129.9,219463.0,198716.0,110.4
2025-11,松江,足立美術館,安来市,87037.0,90973.0,95.7,510822.0,508748.0,100.4
2025-11,安来,清水寺,安来市,12800.0,11800.0,108.5,97300.0,95400.0,102.0
2025-11,安来,玉峰山荘,奥出雲町,7667.0,7441.0,103.0,62811.0,61136.0,102.7
2025-11,雲南,道の駅たたらば壱番地,雲南市,30347.0,29076.0,104.4,240737.0,250728.0,96.0
2025-11,雲南,古代出雲歴史博物館,出雲市,0.0,25181.0,,42600.0,182565.0,
2025-11,雲南,道の駅キララ多伎,出雲市,38530.0,38409.0,100.3,378699.0,404137.0,93.7
2025-11,出雲,島根ワイナリー,出雲市,44658.0,54081.0,82.6,382242.0,409337.0,93.4
2025-11,出雲,ゴビウス,出雲市,8322.0,8545.0,97.4,132827.0,134207.0,99.0
2025-11,出雲,三瓶自然館,大田市,9396.0,8122.0,115.7,88812.0,86910.0,102.2
2025-11,大田,龍源寺間歩,大田市,10305.0,8999.0,114.5,86207.0,83917.0,102.7
2025-11,邑智,仁摩サンドミュージアム,大田市,3616.0,3715.0,97.3,36753.0,39596.0,92.8
2025-11,邑智,香木の森公園,邑南町,3005.0,4400.0,68.3,27359.0,62964.0,43.5
2025-11,邑智,風の国,江津市,1232.0,914.0,134.8,12451.0,9497.0,131.1
2025-11,江津,アクアス,浜田市,24857.0,22768.0,109.2,362854.0,352806.0,102.8
2025-11,浜田,きんたの里,浜田市,6059.0,5965.0,101.6,67990.0,76858.0,88.5
2025-11,浜田,はまだお魚市場,浜田市,16101.0,14713.0,109.4,154818.0,158037.0,98.0
2025-11,浜田,万葉公園,益田市,19020.0,22350.0,85.1,177693.0,230391.0,77.1
2025-11,益田,太皷谷稲成神社,津和野町,44000.0,38953.0,113.0,544563.0,546665.0,99.6
2025-11,益田,森鷗外記念館,津和野町,1279.0,1217.0,105.1,8506.0,8053.0,105.6
2025-11,益田,隠岐神社,海士町,700.0,1105.0,63.3,14180.0,15605.0,90.9
2025-11,隠岐,国賀海岸,西ノ島町,615.0,405.0,151.9,16121.0,15102.0,106.7
2025-11,隠岐,フィッシャーマンズワーフ隠岐,隠岐の島町,4682.0,4805.0,97.4,54310.0,57003.0,95.3
2025-11,隠岐,合,計,526480.0,528728.0,99.6,4501331.0,4747716.0,94.8
