month,month_only,predicted_stays,last_adjusted_at
2026-01-01,1,851.6666666666666,2026-05-13 06:53
2026-02-01,2,776.9,
2026-03-01,3,1282.195,
2026-04-01,4,1198.965,
2026-05-01,5,1189.9675,
2026-06-01,6,1171.963125,
2026-07-01,7,1113.695625,
2026-08-01,8,1258.3931249999998,
2026-09-01,9,1139.678046875,
2026-10-01,10,1261.5985546875,
2026-11-01,11,1306.051015625,
2026-12-01,12,1155.02255859375,
