年度,市町村名,観光地・施設名(観光地内訳),新規,月別内訳,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,分類コード
R5,出雲市,(47) 荒神谷遺跡,,,917,1480,2729,2231,3806,3312,2253,1926,2148,2036,1394,710,24942,
R5,出雲市,a（荒神谷博物館）,,,191,283,546,420,842,903,608,776,813,0,0,0,5382,1-02-06
R5,出雲市,b（公園）,,,726,1197,2183,1811,2964,2409,1645,1150,1335,2036,1394,710,19560,1-02-01
R5,出雲市,(48) 湯の川温泉,,,4339,3952,4401,5229,5749,3622,3559,3760,3350,3522,3661,3647,48791,1-03-01
R5,出雲市,(49) 万九千神社,,,8850,2980,4050,3950,5640,4500,4080,6500,3670,9050,42500,19100,114870,1-02-03
R5,出雲市,(50) 出雲いりすの丘 ひかわ美人の湯,,,7296,7311,7867,7229,11109,7897,7948,9769,8458,10549,10887,8173,104493,1-03-01
R5,出雲市,(51) 道の駅湯の川,,,27997,31501,44678,40079,46004,35095,32521,40365,36812,45803,53608,37498,471961,1-06-99
R5,出雲市,(52) 原鹿の旧豪農屋敷,,,297,211,346,535,2796,841,604,273,488,2249,715,374,9729,1-02-12
R5,出雲市,(53) 出雲空港カントリー倶楽部,,,2151,2507,3974,4008,4455,4127,3093,3062,3455,4808,4244,3234,43118,1-04-01
R5,出雲市,(54) 出雲市トキ学習コーナー,,,102,149,275,187,295,130,198,152,219,329,308,116,2460,1-02-09
R5,出雲市,(55) 出雲市トキ公開施設,,,332,1353,1987,2438,3934,2168,712,537,1972,2012,1298,651,19394,1-02-09
R5,出雲市,(56) 鰐淵寺,,,121,96,264,310,348,257,138,228,231,502,4221,557,7273,1-02-03
R5,出雲市,(57) 地域の祭り・イベント,,,0,0,0,10000,0,0,21500,3000,0,0,4200,0,38700,2-01-99
R5,出雲市,,,,1242322,739350,1029619,905016,1345779,823263,834576,1215135,904430,1122890,1239495,685773,12087648,
R6,出雲市,(1) 立久恵峡,,,2532,3840,4956,5820,14232,(単位：人地点)分類コード1-01-041-02-061-02-061-02-061-04-991-02-061-02-091-02-031-02-031-02-061-02-111-04-041-04-011-04-011-04-991-02-061-03-011-03-011-04-071-02-031-01-991-03-011-04-051-01-051-04-051-01-051-04-041-04-031-06-991-04-991-03-011-04-011-01-051-02-031-02-061-02-121-02-061-05-031-04-051-04-051-04-041-02-061-06-991-02-06,,,,,,,,
R6,出雲市,(2) 出雲民芸館,,,128,226,290,240,308,8904,7848,9192,14328,9552,7212,2940,91356,1-01-04
R6,出雲市,(3) 出雲文化伝承館,,,4417,3907,6015,5246,6677,232,255,343,273,299,329,257,3180,1-02-06
R6,出雲市,(4) 出雲健康公園(出雲ドーム含む),,,1356,1315,1616,1722,1455,5676,3945,5215,3839,5377,4347,2218,56879,1-02-06
R6,出雲市,(5) 出雲ゆうプラザ,,,3301,0,0,9682,11230,1505,1358,1551,3307,2106,5451,1307,24049,1-02-06
R6,出雲市,(6) 出雲科学館,,,6364,6501,6704,4670,5009,13851,22176,33145,14786,8667,8297,7824,132959,1-04-99
R6,出雲市,(7) しまね花の郷,,,2436,4118,5105,16629,14200,6443,8129,12224,7363,4824,5096,4279,77606,1-02-06
R6,出雲市,(8) 長浜神社,,,600,150,150,150,150,5141,2886,1730,5331,6689,4821,1988,71074,1-02-09
R6,出雲市,(9) 一畑薬師,,,17000,2800,12000,42000,43000,200,200,200,200,300,200,250,2750,1-02-03
R6,出雲市,(10) 平田本陣記念館,,,275,2046,687,808,699,19200,16000,18000,18000,31000,52000,6000,277000,1-02-03
R6,出雲市,(11) 木綿街道交流館,,,17,57,277,81,139,738,929,1484,632,780,1139,83,10300,1-02-06
