年度,区分,月別内訳,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
R5,出雲市,,55446,61960,77338,63931,75332,62863,66920,83959,66518,78745,82752,64541,840305
R6,出雲市,,53034,58140,73394,66963,77392,62504,66277,85084,70627,83922,88044,66683,852064
